Taxa	Yield	PH	
Ind126	-4.7140906	-3.603783309956552	
Ind127	0.93681795	-0.1253384297373792	
Ind128	-6.70318205	-0.5460155569390324	
Ind129	4.39981795	4.749137520723091	
Ind130	-4.84468205	5.7256893431653495	
Ind131	-7.27668205	1.0077819585362224	
Ind132	0.97281795	5.378221470960614	
Ind133	1.15081795	7.9420954606485665	
Ind134	-6.81918205	4.006776299489749	
Ind135	-13.58768205	-4.7856288905858975	
Ind136	0.4554094	-2.9028159333026826	
Ind137	7.88281795	1.0120702113937945	
Ind138	1.33781795	-2.8233884201574577	
Ind139	4.32781795	-8.397560601520846	
Ind140	4.14531795	-5.515405794059529	
Ind141	7.34881795	9.439702411701532	
Ind142	-3.57568205	2.1325363730127567	
Ind143	1.71931795	9.909365930354475	
Ind144	8.37281795	1.0466711250995289	
Ind145	-0.75868205	-2.1278640731696674	
Ind146	-4.13368205	2.745291257326821	
Ind147	-0.90618205	-0.586822125125595	
Ind148	3.41281795	-3.7633922683104633	
Ind149	4.28331795	-8.056984977940347	
Ind150	8.04131795	-6.097832463542819	
Ind151	-6.74968205	-2.3212479868338924	
Ind152	-2.1675906	7.828113422300611	
Ind153	5.99331795	-2.4844023890409295	
Ind154	-22.94268205	-1.8489625261066394	
Ind155	4.70431795	-9.351665996965789	
Ind156	0.12981795	6.897464598465021	
Ind157	5.81481795	-8.397478927899067	
Ind158	3.66931795	0.6294682058754013	
Ind159	-1.35468205	2.4803036355672052	
Ind160	-4.67668205	1.8892885188180983	
Ind161	-9.45768205	-8.57720386506025	
Ind162	10.09231795	-0.2985959863728471	
Ind163	-5.80218205	6.0596552106034025	
Ind164	-0.69868205	2.792072117684068	
Ind165	-6.41018205	5.888628040995595	
Ind166	-3.99418205	-6.912813722803788	
Ind167	7.91881795	3.24818011319152	
Ind168	1.15381795	1.6251863155793522	
Ind169	-1.79818205	-2.728299395553946	
Ind170	-6.73168205	-7.739044191982947	
Ind171	-3.47668205	-2.28812216610698	
Ind172	-10.26218205	-8.760015928879492	
Ind173	3.36231795	9.880589747334824	
Ind174	5.89231795	1.5027668429039167	
Ind175	-7.40118205	-7.4423480576450585	
Ind176	-3.3125906	0.8633197265629953	
Ind177	-3.4785906	-2.7120041133637462	
Ind178	1.10531795	-7.768973758192859	
Ind179	2.07181795	-9.969124249432932	
Ind180	-0.68068205	3.8626117218464238	
Ind181	-3.08968205	-0.021466225932293526	
Ind182	-4.92168205	8.10414553056437	
Ind183	8.14581795	-8.83005127760436	
Ind184	-2.32318205	-9.112636424839785	
Ind185	-6.24218205	-8.755173020409806	
Ind186	-14.91868205	-8.131417598002473	
Ind187	0.59881795	9.583491515987	
Ind188	-5.70018205	-0.15717793599908347	
Ind189	-0.11268205	0.741705612485239	
Ind190	0	-8.956279158391336	
Ind191	0.27181795	5.410360084643273	
Ind192	10.65081795	-6.922750029607458	
Ind193	1.0169094	2.3153258819592253	
Ind194	-3.14568205	-3.727669655446335	
Ind195	5.23081795	-6.957810536838835	
Ind196	3.48481795	-8.28494019958579	
Ind197	-5.26968205	-4.4439401603891255	
Ind198	11.78931795	-6.471380726241753	
Ind199	9.55431795	-0.6672850308858109	
Ind200	-6.48168205	-2.756157168812912	
Ind201	3.07181795	-1.0189521128256942	
Ind202	-0.47368205	9.364176732658283	
Ind203	0.85131795	7.787640200406461	
Ind204	8.78881795	-8.73589274012081	
Ind205	-9.65168205	6.834321267282203	
Ind206	1.97281795	-3.0146111593236995	
Ind207	5.48531795	-1.3766392097665943	
Ind208	-7.1885906	5.736318175718186	
Ind209	-5.39268205	1.199441916877614	
Ind210	3.69831795	-9.805818247714393	
Ind211	7.13531795	4.6023776057971055	
Ind212	-7.80518205	-1.8893846841685544	
Ind213	13.54581795	-3.5483561559141075	
Ind214	1.0694094	2.0872396896123746	
Ind215	-2.76568205	8.197771855993782	
Ind216	12.46081795	8.400372396981616	
Ind217	-1.54518205	4.03347481437712	
Ind218	-3.45368205	5.897119509920355	
Ind219	0.81931795	6.9086381995426365	
Ind220	-5.92618205	-1.4384761604333356	
Ind221	1.1014094	2.1199874172098205	
Ind222	5.52681795	6.471958936963237	
Ind223	9.43981795	-9.557092759251343	
Ind224	-4.01118205	-1.5346090469368505	
Ind225	3.03831795	-3.0534555054093326	
Ind226	-8.62168205	-7.371222311042647	
Ind227	-3.28368205	6.003520566102946	
Ind228	-4.91718205	7.303501918535794	
Ind229	-6.22718205	-9.595656437358427	
Ind230	-0.73668205	-7.021377256146324	
Ind231	-0.6230906	-3.941551182847136	
Ind232	3.0384094	4.438689113443214	
Ind233	-10.48918205	1.9657966558726354	
Ind234	-2.58318205	0.8101169909409975	
Ind235	7.49531795	-3.2554194813646546	
Ind236	-1.50068205	9.517529502090703	
Ind237	11.61031795	-7.9160725384665405	
Ind238	2.89581795	7.231234688811142	
Ind239	-3.58618205	4.450036220181392	
Ind240	-5.68418205	-1.9150340185155414	
Ind241	1.10681795	-1.083020794868343	
Ind242	0	6.007416326727526	
Ind243	7.16631795	-6.861007922010711	
Ind244	-1.82418205	5.992747874000122	
Ind245	-7.51568205	-9.438529541569782	
Ind246	0.14581795	8.397412416556733	
Ind247	-5.91068205	-4.372364739806615	
Ind248	3.96231795	3.5690826893859917	
Ind249	5.09131795	-9.06605164342563	
Ind250	8.55481795	-8.223468116678461	
Ind251	7.3214094	8.289398452505573	
Ind252	-6.75568205	8.817701359166627	
Ind253	-0.15918205	-0.9762689757623093	
Ind254	1.8019094	1.9502458085335164	
Ind255	2.6909094	0.5621528326804608	
Ind256	-7.6405906	-2.159702209887544	
Ind257	-8.45518205	8.445965770890137	
Ind258	2.92181795	-4.2006124621921215	
Ind259	-1.68818205	8.149575789266667	
Ind260	7.2554094	0.2270969188064207	
Ind261	2.59831795	7.056349371897053	
Ind262	0.25781795	8.261456849833323	
Ind263	6.45381795	1.953430818353592	
Ind264	2.02681795	-2.663916591431345	
Ind265	-8.65168205	-5.154102732055364	
Ind266	-3.4945906	-4.359165272091734	
Ind267	3.2504094	-6.456960901538544	
Ind268	1.2774094	-7.8177940213263675	
Ind269	-11.00618205	2.416177007699524	
Ind270	1.19331795	5.853982202968881	
Ind271	-2.16818205	2.3627437931247997	
Ind272	-2.5135906	-8.916353615157215	
Ind273	6.92081795	2.0424496485765786	
Ind274	-7.23568205	-4.546011329240606	
Ind275	4.7289094	9.897709694243943	
Ind276	2.54531795	9.263036187672139	
Ind277	-6.01718205	-1.3358005373395159	
Ind278	2.5884094	-6.85789595620758	
